n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,k
306,2,39.53472833682168,21.382134373497138,546.7226376092258,0.30880689806881906,127,0.7760338655067308,3,0.001873817422860383
312,8,76.1089192783886,41.577360897186,964.7919287694031,0.31134451621971654,174,0.8375721949384658,4,0.001873817422860383
313,0,48.82552935500481,28.314534352947703,396.1342870619619,0.36518692354376603,154,0.8382810698038174,5,0.001873817422860383
311,8,46.4293582151768,28.166323376412493,424.73628976400187,0.3652799399330275,153,0.8553749528078521,6,0.001873817422860383
272,1,30.783822762116582,19.429261449491605,222.26724207744178,0.3794508571589556,103,0.7449958226936406,7,0.001873817422860383
318,2,41.813581000546904,24.222148792641747,335.4798323927298,0.35748970192428453,134,0.8262071974761509,8,0.001873817422860383
327,5,45.99915954611175,27.826233912663156,280.7281456867786,0.4261817354060343,150,0.8540984743674462,9,0.001873817422860383
314,5,51.167347772481406,28.012313051043748,553.5942283566073,0.3195336111736304,151,0.8368139183988151,10,0.001873817422860383
318,0,31.15551229994265,20.99562499286833,226.08430434590628,0.43547857578696403,131,0.8034834275785435,11,0.001873817422860383
305,13,48.29889637672112,28.402156209042914,617.6845931009184,0.2773087076786293,151,0.8332720609449344,12,0.001873817422860383
312,6,35.429125211162614,16.2909705058064,350.49279425953864,0.340192778142291,120,0.8007612899367658,13,0.001873817422860383
289,1,40.29905587700354,23.056692878232752,429.37784773684825,0.3622363246173015,131,0.8008598244921719,14,0.001873817422860383
335,1,51.320921259711334,30.604951753211935,339.7362116744134,0.4038079295206341,168,0.857682928869782,0,0.003511191734215131
318,0,59.66362878238313,30.197321632690546,430.8882479310914,0.39588392777111125,161,0.8145079323721307,1,0.003511191734215131
319,0,73.38388757648286,46.29983146705354,561.4121237431536,0.41576359172539606,185,0.8525650540524934,2,0.003511191734215131
306,2,42.61683561164257,24.58491858552202,457.11949847373535,0.3301841228789379,136,0.777445744224984,3,0.003511191734215131
313,7,75.99964005358483,39.52095977036697,587.2182735665992,0.3569190379848842,176,0.8349514578005311,4,0.003511191734215131
313,0,47.39903075594806,22.980920481607427,358.25607364087045,0.3554526900625599,133,0.8467218345550058,5,0.003511191734215131
311,8,45.41883660778788,28.731783221523074,327.7479310787612,0.3971035573045049,152,0.8413980702982802,6,0.003511191734215131
272,1,29.912563875314426,13.703710421684264,253.19955807055635,0.3621058997577562,96,0.7391290592730959,7,0.003511191734215131
318,2,40.10231836459197,22.59834239389511,368.31757191698875,0.35225479389869846,129,0.8274963992357461,8,0.003511191734215131
327,5,48.99190002845708,29.3006412413863,270.4439377666058,0.45974459114905925,158,0.8583123580503028,9,0.003511191734215131
315,4,51.50853951026981,31.061157387897765,475.6788354302098,0.35722626979561134,160,0.8310306478818132,10,0.003511191734215131
318,0,29.08637244029353,18.558470204386822,262.33682644000965,0.40436622424226293,116,0.7990010194387387,11,0.003511191734215131
306,12,46.293530961106214,25.138624132465793,552.7783706446003,0.30959627544991764,139,0.828630590734609,12,0.003511191734215131
312,6,35.46653654166805,17.776069819945008,246.96239627220075,0.36696302909465234,119,0.8092836000870683,13,0.003511191734215131
289,1,38.55571361226929,21.869484333116816,352.07360043806693,0.34996011139104405,125,0.7986298921264186,14,0.003511191734215131
334,2,55.04044504761696,34.14178286416313,399.5743118532919,0.4148674823352641,177,0.8668172366306954,0,0.006579332246575682
318,0,63.2064961386283,38.06071529391647,434.4999454199369,0.4390951053256,180,0.8156471025488766,1,0.006579332246575682
319,0,65.87021236221052,43.66617494105867,437.1085744272291,0.4565448845964072,185,0.8534905130005512,2,0.006579332246575682
306,2,39.454021805043205,24.2260255245468,348.2437268627009,0.3566560239859845,127,0.775380968010785,3,0.006579332246575682
312,8,75.38934530579371,37.961726248922105,558.8941597350276,0.39894801032546306,178,0.82648823700021,4,0.006579332246575682
313,0,46.461708314281836,24.465071855754104,459.7698330011108,0.36031101896218415,144,0.8275856676854819,5,0.006579332246575682
311,8,43.94362859222456,26.65887202950671,392.0117601509696,0.3690718195177693,140,0.8620532843004989,6,0.006579332246575682
271,2,30.99125947455472,15.432751033404202,210.35560340981306,0.3849037732669742,103,0.7453713077350861,7,0.006579332246575682
317,3,41.74424973058793,23.53936453496499,307.1155083210692,0.3965053854871766,145,0.842254552801651,8,0.006579332246575682
328,4,51.074078591039644,31.123492774610668,387.31239700015203,0.4256916054848209,168,0.8602529887768251,9,0.006579332246575682
316,3,51.30352602894595,28.76090976861849,418.9524073134935,0.34884812449126307,153,0.8339584001468734,10,0.006579332246575682
316,2,27.54814977012015,17.465788335670823,179.99279308813857,0.39162116171594114,103,0.8044537453107318,11,0.006579332246575682
305,13,45.260807137299906,22.485453737124317,414.6956613880475,0.328349762199131,130,0.827392770310789,12,0.006579332246575682
313,5,40.04877974458041,19.60758692511763,335.53226814986647,0.3476516705399793,125,0.8055364663259822,13,0.006579332246575682
289,1,38.126638038719165,20.66728197737484,341.4332513303416,0.35047217456745,123,0.7947895114522767,14,0.006579332246575682
335,1,51.0369696095058,28.009758165034327,467.2898135327073,0.38392145302713954,164,0.8563894436666766,0,0.012328467394420659
