n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,arrival_rate,load_factor,strategy
165,0,9.79296849834594,0.0,128.03537156991115,0.18181674201661815,17,0.44493440044180604,12,1.5,0.5220828154861754,SRPT
169,0,8.05960472408841,0.0,79.19793178268446,0.2050172293982443,21,0.4338752517847956,13,1.5,0.5220828154861754,SRPT
143,0,11.62366600442537,0.0,147.71733544939434,0.1565246029403016,19,0.3964665112410976,14,1.5,0.5220828154861754,SRPT
160,0,5.289212717954678,0.0,64.76553482175132,0.1805064683838703,8,0.4025606553301646,0,1.5,0.5220828154861754,SOC-Aware+Aging
148,0,7.296499608698831,0.0,77.52411083569677,0.2014722486041294,15,0.3929158023699141,1,1.5,0.5220828154861754,SOC-Aware+Aging
164,0,5.17900200069376,0.0,54.76292038982683,0.19408358829245603,7,0.45022795850283154,2,1.5,0.5220828154861754,SOC-Aware+Aging
163,1,9.976798796625259,0.0,78.26638190909762,0.21937090127754846,25,0.4426097578516488,3,1.5,0.5220828154861754,SOC-Aware+Aging
162,0,4.517870516206714,0.0,71.59776853217613,0.13979389369229536,7,0.437849065676117,4,1.5,0.5220828154861754,SOC-Aware+Aging
160,0,5.446860587791261,0.0,72.18546008155863,0.14207758309695967,11,0.4361968140196615,5,1.5,0.5220828154861754,SOC-Aware+Aging
156,0,6.164435105782341,0.0,69.5451686229112,0.1982029416909278,10,0.43167575790506807,6,1.5,0.5220828154861754,SOC-Aware+Aging
130,0,5.9575280464564,0.0,52.75566368391719,0.19719530661734913,9,0.36000101861766737,7,1.5,0.5220828154861754,SOC-Aware+Aging
169,1,7.618221300631049,0.0,76.86619098291612,0.20493370748801706,19,0.4199868934745671,8,1.5,0.5220828154861754,SOC-Aware+Aging
173,0,7.675775640310275,0.0,59.8601282218533,0.22639196519234897,16,0.4714024573914749,9,1.5,0.5220828154861754,SOC-Aware+Aging
155,0,8.889560843906432,0.0,65.14750621750272,0.24964417275181688,21,0.40902340600964576,10,1.5,0.5220828154861754,SOC-Aware+Aging
164,0,6.384733255894564,0.0,69.62662651997698,0.16657383148934327,14,0.43968072556812116,11,1.5,0.5220828154861754,SOC-Aware+Aging
165,0,10.496791217856996,0.0,106.90335469025649,0.2390143443251481,22,0.4586376222864911,12,1.5,0.5220828154861754,SOC-Aware+Aging
